feature_name,dtype,missing_percentage,feature_type,initial_decision,reason
V40,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V41,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V42,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V43,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V44,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V45,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V46,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V47,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V48,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V49,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V50,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V51,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V52,float32,28.61,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V53,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V54,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V55,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V56,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V57,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V58,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V59,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V60,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V61,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V62,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V63,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V64,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V65,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V66,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V67,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V68,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V69,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V70,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V71,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V72,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V73,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V74,float32,13.06,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V75,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V76,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V77,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V78,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V79,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V80,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V81,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V82,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V83,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V84,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V85,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V86,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V87,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V88,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V89,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V90,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V91,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V92,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V93,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V94,float32,15.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V95,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V96,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V97,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V98,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V99,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V100,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V101,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V102,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V103,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V104,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V105,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V106,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V107,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V108,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V109,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V110,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V111,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V112,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V113,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V114,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V115,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V116,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V117,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V118,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V119,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V120,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V121,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V122,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V123,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V124,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V125,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V126,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V127,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V128,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V129,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V130,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V131,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V132,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V133,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V134,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V135,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V136,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V137,float32,0.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V138,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V139,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V140,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V141,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V142,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V143,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V144,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V145,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V146,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V147,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V148,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V149,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V150,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V151,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V152,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V153,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V154,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V155,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V156,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V157,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V158,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V159,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V160,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V161,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V162,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V163,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V164,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V165,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V166,float32,86.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V167,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V168,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V169,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V170,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V171,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V172,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V173,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V174,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V175,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V176,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V177,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V178,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V179,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V180,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V181,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V182,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V183,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V184,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V185,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V186,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V187,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V188,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V189,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V190,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V191,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V192,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V193,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V194,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V195,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V196,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V197,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V198,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V199,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V200,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V201,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V202,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V203,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V204,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V205,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V206,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V207,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V208,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V209,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V210,float32,76.32,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V211,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V212,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V213,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V214,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V215,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V216,float32,76.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V217,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V218,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V219,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V220,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V221,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V222,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V223,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V224,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V225,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V226,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V227,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V228,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V229,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V230,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V231,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V232,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V233,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V234,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V235,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V236,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V237,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V238,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
