feature,risk_level,decision,reason
V10,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V11,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V12,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V13,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V14,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V15,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V16,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V17,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V18,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V19,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V20,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V21,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V22,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V23,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V24,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V25,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V26,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V27,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V28,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V29,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V30,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V31,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V32,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V33,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V34,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V35,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V36,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V37,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V38,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V39,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V40,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V41,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V42,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V43,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V44,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V45,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V46,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V47,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V48,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V49,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V50,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V51,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V52,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V53,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V54,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V55,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V56,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V57,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V58,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V59,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V60,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V61,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V62,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V63,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V64,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V65,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V66,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V67,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V68,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V69,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V70,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V71,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V72,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V73,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V74,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V75,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V76,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V77,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V78,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V79,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V80,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V81,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V82,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V83,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V84,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V85,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V86,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V87,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V88,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V89,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V90,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V91,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V92,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V93,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V94,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V95,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V96,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V97,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V98,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V99,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V100,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V101,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V102,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V103,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V104,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V105,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V106,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V107,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V108,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V109,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V110,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V111,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V112,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V113,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V114,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V115,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V116,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V117,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V118,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V119,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V120,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V121,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V122,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V123,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V124,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V125,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V126,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V127,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V128,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V129,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V130,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V131,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V132,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V133,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V134,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V135,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V136,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V137,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V138,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V139,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V140,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V141,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V142,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V143,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V144,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V145,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V146,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V147,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V148,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V149,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V150,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V151,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V152,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V153,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V154,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V155,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V156,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V157,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V158,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V159,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V160,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V161,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V162,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V163,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V164,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V165,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V166,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V167,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V168,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V169,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V170,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V171,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V172,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V173,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V174,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V175,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V176,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V177,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V178,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V179,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V180,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V181,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V182,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V183,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V184,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V185,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V186,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V187,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V188,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V189,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V190,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V191,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V192,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V193,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V194,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V195,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V196,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V197,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V198,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V199,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V200,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V201,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V202,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V203,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V204,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V205,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V206,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V207,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V208,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V209,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V210,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V211,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V212,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V213,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V214,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V215,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V216,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V217,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V218,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V219,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V220,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V221,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V222,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V223,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V224,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V225,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V226,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V227,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V228,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V229,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V230,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V231,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V232,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V233,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V234,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V235,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V236,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V237,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V238,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V239,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V240,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V241,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V242,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V243,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V244,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V245,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V246,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V247,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V248,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V249,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V250,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V251,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V252,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V253,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V254,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V255,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V256,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V257,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V258,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V259,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V260,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V261,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V262,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V263,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V264,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V265,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V266,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V267,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V268,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V269,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V270,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V271,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V272,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V273,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V274,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V275,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V276,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V277,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V278,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V279,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V280,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V281,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V282,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V283,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V284,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V285,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V286,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V287,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V288,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V289,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V290,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V291,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V292,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V293,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V294,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V295,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V296,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V297,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V298,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V299,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V300,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V301,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V302,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V303,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V304,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V305,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V306,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V307,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V308,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V309,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V310,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V311,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V312,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V313,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V314,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V315,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V316,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V317,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V318,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V319,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V320,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V321,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V322,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V323,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V324,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V325,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V326,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V327,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V328,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V329,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V330,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V331,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V332,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V333,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V334,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V335,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V336,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V337,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V338,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
V339,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_01,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_02,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_03,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_04,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
