feature,unique_count,missing_percentage,variance,decision,reason
V43,9,29.59,0.18716,Retain,Informative feature variance
V44,49,29.59,0.47503,Retain,Informative feature variance
V45,49,29.59,0.59383,Retain,Informative feature variance
V46,7,29.59,0.02905,Retain,Informative feature variance
V47,9,29.59,0.05675,Retain,Informative feature variance
V48,6,29.59,0.25755,Retain,Informative feature variance
V49,6,29.59,0.2934,Retain,Informative feature variance
V50,6,29.59,0.14427,Retain,Informative feature variance
V51,7,29.59,0.1669,Retain,Informative feature variance
V52,9,29.59,0.197,Retain,Informative feature variance
V53,6,14.16,0.26169,Retain,Informative feature variance
V54,7,14.16,0.2854,Retain,Informative feature variance
V55,18,14.16,0.15241,Retain,Informative feature variance
V56,20,14.16,0.26996,Retain,Informative feature variance
V57,7,14.16,0.1246,Retain,Informative feature variance
V58,8,14.16,0.13197,Retain,Informative feature variance
V59,12,14.16,0.14297,Retain,Informative feature variance
V60,13,14.16,0.16892,Retain,Informative feature variance
V61,7,14.16,0.19036,Retain,Informative feature variance
V62,8,14.16,0.22705,Retain,Informative feature variance
V63,8,14.16,0.12673,Retain,Informative feature variance
V64,8,14.16,0.15803,Retain,Informative feature variance
V65,2,14.16,0.00034,Retain,Informative feature variance
V66,6,14.16,0.04773,Retain,Informative feature variance
V67,9,14.16,0.06147,Retain,Informative feature variance
V68,3,14.16,0.00052,Retain,Informative feature variance
V69,6,14.16,0.26343,Retain,Informative feature variance
V70,7,14.16,0.30614,Retain,Informative feature variance
V71,7,14.16,0.13377,Retain,Informative feature variance
V72,8,14.16,0.14279,Retain,Informative feature variance
V73,6,14.16,0.13602,Retain,Informative feature variance
V74,9,14.16,0.15453,Retain,Informative feature variance
V75,5,16.47,0.26462,Retain,Informative feature variance
V76,7,16.47,0.28964,Retain,Informative feature variance
V77,31,16.47,0.30466,Retain,Informative feature variance
V78,31,16.47,0.49337,Retain,Informative feature variance
V79,8,16.47,0.135,Retain,Informative feature variance
V80,20,16.47,0.17328,Retain,Informative feature variance
V81,20,16.47,0.20242,Retain,Informative feature variance
V82,8,16.47,0.17846,Retain,Informative feature variance
V83,8,16.47,0.2132,Retain,Informative feature variance
V84,8,16.47,0.13296,Retain,Informative feature variance
V85,8,16.47,0.16472,Retain,Informative feature variance
V86,31,16.47,0.19263,Retain,Informative feature variance
V87,31,16.47,0.26742,Retain,Informative feature variance
V88,2,16.47,0.00081,Retain,Informative feature variance
V89,3,16.47,0.0009,Retain,Informative feature variance
V90,6,16.47,0.2662,Retain,Informative feature variance
V91,7,16.47,0.31461,Retain,Informative feature variance
V92,8,16.47,0.14405,Retain,Informative feature variance
V93,8,16.47,0.15309,Retain,Informative feature variance
V94,3,16.47,0.12034,Retain,Informative feature variance
V95,28,0.02,0.59199,Retain,Informative feature variance
V96,127,0.02,19.51641,Retain,Informative feature variance
V97,49,0.02,2.82873,Retain,Informative feature variance
V98,13,0.02,0.07827,Retain,Informative feature variance
V99,89,0.02,6.05193,Retain,Informative feature variance
V100,29,0.02,0.7214,Retain,Informative feature variance
V101,23,0.02,0.30399,Retain,Informative feature variance
V102,116,0.02,7.23251,Retain,Informative feature variance
V103,46,0.02,1.19817,Retain,Informative feature variance
V104,16,0.02,0.11721,Retain,Informative feature variance
V105,39,0.02,0.6833,Retain,Informative feature variance
V106,24,0.02,0.23534,Retain,Informative feature variance
V107,2,0.02,0.00019,Retain,Informative feature variance
V108,8,0.02,0.0064,Retain,Informative feature variance
V109,8,0.02,0.0155,Retain,Informative feature variance
V110,8,0.02,0.00903,Retain,Informative feature variance
V111,10,0.02,0.00516,Retain,Informative feature variance
V112,10,0.02,0.00741,Retain,Informative feature variance
V113,10,0.02,0.00575,Retain,Informative feature variance
V114,7,0.02,0.0116,Retain,Informative feature variance
V115,7,0.02,0.03325,Retain,Informative feature variance
V116,7,0.02,0.01743,Retain,Informative feature variance
V117,4,0.02,0.00103,Retain,Informative feature variance
V118,4,0.02,0.00156,Retain,Informative feature variance
V119,4,0.02,0.00116,Retain,Informative feature variance
V120,4,0.02,0.00144,Retain,Informative feature variance
V121,4,0.02,0.00395,Retain,Informative feature variance
V122,4,0.02,0.00196,Retain,Informative feature variance
V123,14,0.02,0.05147,Retain,Informative feature variance
V124,14,0.02,0.11881,Retain,Informative feature variance
V125,14,0.02,0.06856,Retain,Informative feature variance
V126,7664,0.02,239128.42188,Retain,Informative feature variance
V127,19879,0.02,621555.3125,Retain,Informative feature variance
V128,11339,0.02,301668.625,Retain,Informative feature variance
V129,1745,0.02,14425.80664,Retain,Informative feature variance
V130,10745,0.02,86009.28125,Retain,Informative feature variance
V131,3935,0.02,24199.16406,Retain,Informative feature variance
V132,4522,0.02,54811.71094,Retain,Informative feature variance
V133,7515,0.02,226024.73438,Retain,Informative feature variance
V134,5972,0.02,86747.3125,Retain,Informative feature variance
V135,3090,0.02,89751.17188,Retain,Informative feature variance
V136,4030,0.02,100956.67188,Retain,Informative feature variance
V137,3512,0.02,93865.66406,Retain,Informative feature variance
V138,23,85.25,0.19742,Retain,Informative feature variance
V139,34,85.25,1.77638,Retain,Informative feature variance
V140,34,85.25,2.13738,Retain,Informative feature variance
V141,6,85.25,0.04577,Retain,Informative feature variance
V142,10,85.25,0.08537,Retain,Informative feature variance
V143,55,85.25,71.04809,Retain,Informative feature variance
V144,63,85.25,125.97855,Retain,Informative feature variance
V145,255,85.25,4787.99756,Retain,Informative feature variance
V146,18,85.25,0.38019,Retain,Informative feature variance
V147,18,85.25,0.47824,Retain,Informative feature variance
V148,16,85.25,0.28181,Retain,Informative feature variance
V149,16,85.25,0.33468,Retain,Informative feature variance
V150,1985,85.25,793821.3125,Retain,Informative feature variance
V151,56,85.25,266.6882,Retain,Informative feature variance
V152,29,85.25,514.61102,Retain,Informative feature variance
V153,8,85.25,0.22938,Retain,Informative feature variance
V154,9,85.25,0.24016,Retain,Informative feature variance
V155,15,85.25,0.28669,Retain,Informative feature variance
V156,17,85.25,0.33817,Retain,Informative feature variance
V157,16,85.25,0.38741,Retain,Informative feature variance
V158,17,85.25,0.45754,Retain,Informative feature variance
V159,6441,85.25,80621472.0,Retain,Informative feature variance
V160,9088,85.25,23294072832.0,Retain,Informative feature variance
V161,75,85.25,4003.32349,Retain,Informative feature variance
V162,155,85.25,5191.17871,Retain,Informative feature variance
V163,98,85.25,4543.64111,Retain,Informative feature variance
V164,710,85.25,641182.4375,Retain,Informative feature variance
V165,1196,85.25,17979290.0,Retain,Informative feature variance
V166,901,85.25,1550931.875,Retain,Informative feature variance
V167,59,75.34,5.59823,Retain,Informative feature variance
V168,213,75.34,71.59155,Retain,Informative feature variance
V169,20,75.31,0.76752,Retain,Informative feature variance
V170,49,75.31,2.82504,Retain,Informative feature variance
V171,62,75.31,3.98312,Retain,Informative feature variance
V172,32,75.34,0.9895,Retain,Informative feature variance
V173,8,75.34,0.07455,Retain,Informative feature variance
V174,9,75.31,0.13702,Retain,Informative feature variance
V175,15,75.31,0.29374,Retain,Informative feature variance
V176,49,75.34,3.41813,Retain,Informative feature variance
V177,48,75.34,2.27362,Retain,Informative feature variance
V178,127,75.34,40.03917,Retain,Informative feature variance
V179,69,75.34,9.64842,Retain,Informative feature variance
V180,67,75.31,10.28445,Retain,Informative feature variance
V181,17,75.34,0.3735,Retain,Informative feature variance
V182,50,75.34,5.89648,Retain,Informative feature variance
V183,30,75.34,1.19277,Retain,Informative feature variance
V184,17,75.31,0.26707,Retain,Informative feature variance
V185,17,75.31,0.32647,Retain,Informative feature variance
V186,39,75.34,1.65039,Retain,Informative feature variance
V187,213,75.34,112.825,Retain,Informative feature variance
V188,19,75.31,0.35196,Retain,Informative feature variance
V189,20,75.31,0.53012,Retain,Informative feature variance
V190,43,75.34,2.31278,Retain,Informative feature variance
V191,22,75.34,0.51408,Retain,Informative feature variance
V192,45,75.34,7.81,Retain,Informative feature variance
V193,38,75.34,3.34568,Retain,Informative feature variance
V194,8,75.31,0.08476,Retain,Informative feature variance
V195,9,75.31,0.12005,Retain,Informative feature variance
V196,39,75.34,1.41545,Retain,Informative feature variance
V197,15,75.31,0.10829,Retain,Informative feature variance
V198,15,75.31,0.22735,Retain,Informative feature variance
V199,46,75.34,3.00106,Retain,Informative feature variance
V200,46,75.31,1.52955,Retain,Informative feature variance
V201,56,75.31,1.95543,Retain,Informative feature variance
V202,7921,75.34,546354.75,Retain,Informative feature variance
V203,10998,75.34,22787036.0,Retain,Informative feature variance
V204,9411,75.34,3881309.0,Retain,Informative feature variance
V205,1903,75.34,82005.0,Retain,Informative feature variance
V206,1502,75.34,41230.98047,Retain,Informative feature variance
V207,2726,75.34,1010812.5625,Retain,Informative feature variance
V208,2112,75.31,3942.54443,Retain,Informative feature variance
V209,2815,75.31,41048.32812,Retain,Informative feature variance
V210,2330,75.31,6330.0835,Retain,Informative feature variance
V211,5129,75.34,89619.9375,Retain,Informative feature variance
V212,6078,75.34,3565967.75,Retain,Informative feature variance
V213,5662,75.34,517739.15625,Retain,Informative feature variance
V214,1813,75.34,252024.03125,Retain,Informative feature variance
V215,2135,75.34,740552.1875,Retain,Informative feature variance
V216,1972,75.34,301935.0,Retain,Informative feature variance
V217,54,76.73,3.56651,Retain,Informative feature variance
V218,110,76.73,35.20445,Retain,Informative feature variance
V219,78,76.73,7.91434,Retain,Informative feature variance
V220,26,75.02,1.02243,Retain,Informative feature variance
V221,72,75.02,7.99817,Retain,Informative feature variance
V222,72,75.02,8.97027,Retain,Informative feature variance
V223,17,76.73,0.16873,Retain,Informative feature variance
V224,77,76.73,12.68063,Retain,Informative feature variance
V225,35,76.73,1.76659,Retain,Informative feature variance
V226,40,76.73,2.3592,Retain,Informative feature variance
V227,44,75.02,4.72461,Retain,Informative feature variance
V228,55,76.73,1.90248,Retain,Informative feature variance
V229,91,76.73,21.01109,Retain,Informative feature variance
V230,66,76.73,4.64579,Retain,Informative feature variance
V231,52,76.73,2.622,Retain,Informative feature variance
V232,57,76.73,5.5473,Retain,Informative feature variance
V233,52,76.73,3.55957,Retain,Informative feature variance
V234,121,75.02,97.7972,Retain,Informative feature variance
V235,16,76.73,0.3248,Retain,Informative feature variance
V236,29,76.73,1.19397,Retain,Informative feature variance
V237,17,76.73,0.46468,Retain,Informative feature variance
V238,19,75.02,0.29014,Retain,Informative feature variance
V239,19,75.02,0.34472,Retain,Informative feature variance
V240,6,76.73,0.00276,Retain,Informative feature variance
V241,5,76.73,0.00055,Retain,Informative feature variance
V242,21,76.73,0.41087,Retain,Informative feature variance
V243,43,76.73,2.1702,Retain,Informative feature variance
V244,23,76.73,0.45828,Retain,Informative feature variance
V245,51,75.02,3.63269,Retain,Informative feature variance
V246,46,76.73,1.07617,Retain,Informative feature variance
V247,13,76.73,0.05967,Retain,Informative feature variance
V248,16,76.73,0.89527,Retain,Informative feature variance
V249,16,76.73,0.29518,Retain,Informative feature variance
V250,15,75.02,0.20846,Retain,Informative feature variance
V251,15,75.02,0.22227,Retain,Informative feature variance
V252,19,76.73,0.13126,Retain,Informative feature variance
V253,61,76.73,15.3722,Retain,Informative feature variance
V254,39,76.73,2.12966,Retain,Informative feature variance
V255,36,75.02,0.86641,Retain,Informative feature variance
V256,42,75.02,0.93555,Retain,Informative feature variance
V257,49,76.73,1.75629,Retain,Informative feature variance
V258,67,76.73,4.47207,Retain,Informative feature variance
V259,64,75.02,4.89107,Retain,Informative feature variance
V260,9,76.73,0.13626,Retain,Informative feature variance
V261,41,76.73,1.77746,Retain,Informative feature variance
V262,21,76.73,0.39857,Retain,Informative feature variance
V263,8229,76.73,766043.75,Retain,Informative feature variance
V264,10620,76.73,3935081.0,Retain,Informative feature variance
V265,9295,76.73,1189488.5,Retain,Informative feature variance
V266,1846,76.73,48244.30859,Retain,Informative feature variance
V267,3032,76.73,462177.25,Retain,Informative feature variance
V268,2333,76.73,106454.125,Retain,Informative feature variance
V269,136,76.73,47942.26953,Retain,Informative feature variance
V270,1949,75.02,4972.96533,Retain,Informative feature variance
V271,2326,75.02,6137.50928,Retain,Informative feature variance
V272,2094,75.02,5578.87744,Retain,Informative feature variance
V273,5501,76.73,106594.71875,Retain,Informative feature variance
V274,6391,76.73,655983.1875,Retain,Informative feature variance
V275,5950,76.73,206939.76562,Retain,Informative feature variance
V276,1803,76.73,303937.03125,Retain,Informative feature variance
V277,2029,76.73,422949.09375,Retain,Informative feature variance
V278,1921,76.73,324261.0,Retain,Informative feature variance
V279,59,0.0,1.28525,Retain,Informative feature variance
V280,179,0.0,21.71627,Retain,Informative feature variance
V281,23,0.2,0.25721,Retain,Informative feature variance
V282,33,0.2,0.83317,Retain,Informative feature variance
V283,52,0.2,2.3792,Retain,Informative feature variance
V284,13,0.0,0.11338,Retain,Informative feature variance
V285,96,0.0,9.94903,Retain,Informative feature variance
V286,9,0.0,0.03794,Retain,Informative feature variance
V287,32,0.0,1.05024,Retain,Informative feature variance
V288,11,0.2,0.18275,Retain,Informative feature variance
V289,13,0.2,0.36069,Retain,Informative feature variance
V290,58,0.0,0.60643,Retain,Informative feature variance
V291,177,0.0,313.4838,Retain,Informative feature variance
V292,133,0.0,16.89192,Retain,Informative feature variance
V293,60,0.0,0.89455,Retain,Informative feature variance
V294,259,0.0,328.65964,Retain,Informative feature variance
V295,172,0.0,19.10106,Retain,Informative feature variance
V296,60,0.2,1.65388,Retain,Informative feature variance
V297,13,0.0,0.13537,Retain,Informative feature variance
V298,44,0.0,1.05979,Retain,Informative feature variance
V299,27,0.0,0.31315,Retain,Informative feature variance
V300,12,0.2,0.08431,Retain,Informative feature variance
V301,12,0.2,0.0988,Retain,Informative feature variance
V302,11,0.0,0.22569,Retain,Informative feature variance
V303,17,0.0,0.33564,Retain,Informative feature variance
V304,12,0.0,0.25482,Retain,Informative feature variance
V305,2,0.0,1e-05,FlagNearConstant,Over 99.99% single-value concentration
V306,12610,0.0,239519.64062,Retain,Informative feature variance
V307,30771,0.0,2442200.25,Retain,Informative feature variance
V308,18380,0.0,438875.9375,Retain,Informative feature variance
V309,3672,0.0,15075.05176,Retain,Informative feature variance
V310,16697,0.0,118518.40625,Retain,Informative feature variance
V311,2664,0.0,12034.81055,Retain,Informative feature variance
V312,6999,0.0,28867.52539,Retain,Informative feature variance
V313,4691,0.2,8816.08301,Retain,Informative feature variance
V314,9907,0.2,27521.37109,Retain,Informative feature variance
V315,5969,0.2,13156.28223,Retain,Informative feature variance
V316,7135,0.0,79524.04688,Retain,Informative feature variance
V317,11709,0.0,1923549.5,Retain,Informative feature variance
V318,9269,0.0,228715.78125,Retain,Informative feature variance
V319,3992,0.0,97124.89062,Retain,Informative feature variance
V320,5362,0.0,115746.64062,Retain,Informative feature variance
V321,4588,0.0,103495.42188,Retain,Informative feature variance
V322,33,85.18,1.3275,Retain,Informative feature variance
V323,50,85.18,9.91847,Retain,Informative feature variance
V324,34,85.18,2.28947,Retain,Informative feature variance
V325,13,85.18,0.07327,Retain,Informative feature variance
V326,45,85.18,5.66223,Retain,Informative feature variance
V327,19,85.18,0.55547,Retain,Informative feature variance
V328,16,85.18,0.36692,Retain,Informative feature variance
V329,25,85.18,1.04414,Retain,Informative feature variance
V330,16,85.18,0.47501,Retain,Informative feature variance
V331,376,85.18,1038990.3125,Retain,Informative feature variance
V332,948,85.18,1178611.75,Retain,Informative feature variance
V333,598,85.18,1066430.75,Retain,Informative feature variance
V334,126,85.18,69109.82812,Retain,Informative feature variance
V335,586,85.18,94909.23438,Retain,Informative feature variance
V336,313,85.18,71838.72656,Retain,Informative feature variance
V337,163,85.18,291634.5625,Retain,Informative feature variance
V338,231,85.18,305858.625,Retain,Informative feature variance
V339,192,85.18,294474.96875,Retain,Informative feature variance
id_01,71,74.5,200.97203,Retain,Informative feature variance
id_02,99487,75.09,23533432832.0,Retain,Informative feature variance
id_03,24,88.55,0.37865,Retain,Informative feature variance
id_04,15,88.55,0.50046,Retain,Informative feature variance
id_05,90,75.77,27.96884,Retain,Informative feature variance
id_06,100,75.77,272.29181,Retain,Informative feature variance
id_07,82,99.1,128.17572,Retain,Informative feature variance
id_08,93,99.1,683.93689,Retain,Informative feature variance
id_09,43,86.96,0.96844,Retain,Informative feature variance
id_10,59,86.96,8.13094,Retain,Informative feature variance
id_11,349,75.07,1.32,Retain,Informative feature variance
id_12,3,0.0,0.27355,Retain,Informative feature variance
id_13,52,77.74,124.42391,Retain,Informative feature variance
id_14,25,85.56,8985.49707,Retain,Informative feature variance
id_15,4,0.0,0.59829,Retain,Informative feature variance
id_16,3,0.0,0.45448,Retain,Informative feature variance
id_17,102,75.3,916.97882,Retain,Informative feature variance
id_18,18,92.08,2.20948,Retain,Informative feature variance
id_19,510,75.31,19572.55469,Retain,Informative feature variance
id_20,380,75.31,22810.73828,Retain,Informative feature variance
id_21,444,99.1,39854.49609,Retain,Informative feature variance
id_22,23,99.1,47.91753,Retain,Informative feature variance
id_23,4,0.0,0.02355,Retain,Informative feature variance
id_24,11,99.17,4.84177,Retain,Informative feature variance
id_25,317,99.1,9848.00781,Retain,Informative feature variance
id_26,89,99.1,1046.74939,Retain,Informative feature variance
id_27,3,0.0,0.00904,Retain,Informative feature variance
id_28,3,0.0,0.5022,Retain,Informative feature variance
id_29,3,0.0,0.49636,Retain,Informative feature variance
id_30,73,0.0,108.84965,Retain,Informative feature variance
id_31,111,0.0,548.82998,Retain,Informative feature variance
id_32,4,86.01,14.22659,Retain,Informative feature variance
id_33,213,0.0,50.9523,Retain,Informative feature variance
id_34,5,0.0,0.21567,Retain,Informative feature variance
id_35,3,0.0,0.44865,Retain,Informative feature variance
id_36,3,0.0,0.21928,Retain,Informative feature variance
id_37,3,0.0,0.3204,Retain,Informative feature variance
id_38,3,0.0,0.47643,Retain,Informative feature variance
DeviceType,3,0.0,0.54297,Retain,Informative feature variance
DeviceInfo,1640,0.0,14991.21411,Retain,Informative feature variance
TransactionHour,24,0.0,58.85748,Retain,Informative feature variance
TransactionDay,141,0.0,1697.62335,Retain,Informative feature variance
TransactionWeek,21,0.0,34.6721,Retain,Informative feature variance
has_identity,2,0.0,0.18997,Retain,Informative feature variance
dist1_isna,2,0.0,0.23837,Retain,Informative feature variance
dist2_isna,2,0.0,0.06333,Retain,Informative feature variance
D2_isna,2,0.0,0.24989,Retain,Informative feature variance
P_emaildomain_isna,2,0.0,0.1315,Retain,Informative feature variance
R_emaildomain_isna,2,0.0,0.18266,Retain,Informative feature variance
id_01_isna,2,0.0,0.18997,Retain,Informative feature variance
id_31_isna,2,0.0,0.18682,Retain,Informative feature variance
TransactionAmt_log,18131,0.0,0.87325,Retain,Informative feature variance
TransactionAmt_decimal,1073,0.0,0.1869,Retain,Informative feature variance
TransactionAmt_is_round,2,0.0,0.24968,Retain,Informative feature variance
TransactionHour_sin,14,0.0,0.3645,Retain,Informative feature variance
TransactionHour_cos,14,0.0,0.4459,Retain,Informative feature variance
device_info_available,2,0.0,0.1663,Retain,Informative feature variance
os_info_available,2,0.0,0.12032,Retain,Informative feature variance
browser_info_available,2,0.0,0.18682,Retain,Informative feature variance
card1_card2,12685,0.0,4460734.07278,Retain,Informative feature variance
card1_card3,12741,0.0,4486657.07635,Retain,Informative feature variance
card1_card5,12828,0.0,4614068.03208,Retain,Informative feature variance
card4_card6,12,0.0,0.93808,Retain,Informative feature variance
email_both_provided,2,0.0,0.17399,Retain,Informative feature variance
email_domain_match,2,0.0,0.14869,Retain,Informative feature variance
addr1_addr2,421,0.0,461.43412,Retain,Informative feature variance
addr1_isna,2,0.0,0.10085,Retain,Informative feature variance
addr2_isna,2,0.0,0.10085,Retain,Informative feature variance
card1_frequency,477,0.0,4e-05,Retain,Informative feature variance
card1_card2_frequency,463,0.0,4e-05,Retain,Informative feature variance
addr1_frequency,97,0.0,0.00096,Retain,Informative feature variance
P_emaildomain_frequency,57,0.0,0.03768,Retain,Informative feature variance
