feature_name,dtype,feature_type,missing_percentage,unique_count,source_feature,transformation,training_use,reason
V59,float32,Numerical,14.16,12,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V60,float32,Numerical,14.16,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V61,float32,Numerical,14.16,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V62,float32,Numerical,14.16,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V63,float32,Numerical,14.16,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V64,float32,Numerical,14.16,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V65,float32,Numerical,14.16,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V66,float32,Numerical,14.16,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V67,float32,Numerical,14.16,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V68,float32,Numerical,14.16,3,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V69,float32,Numerical,14.16,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V70,float32,Numerical,14.16,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V71,float32,Numerical,14.16,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V72,float32,Numerical,14.16,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V73,float32,Numerical,14.16,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V74,float32,Numerical,14.16,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V75,float32,Numerical,16.47,5,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V76,float32,Numerical,16.47,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V77,float32,Numerical,16.47,31,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V78,float32,Numerical,16.47,31,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V79,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V80,float32,Numerical,16.47,20,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V81,float32,Numerical,16.47,20,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V82,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V83,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V84,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V85,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V86,float32,Numerical,16.47,31,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V87,float32,Numerical,16.47,31,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V88,float32,Numerical,16.47,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V89,float32,Numerical,16.47,3,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V90,float32,Numerical,16.47,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V91,float32,Numerical,16.47,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V92,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V93,float32,Numerical,16.47,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V94,float32,Numerical,16.47,3,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V95,float32,Numerical,0.02,28,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V96,float32,Numerical,0.02,127,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V97,float32,Numerical,0.02,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V98,float32,Numerical,0.02,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V99,float32,Numerical,0.02,89,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V100,float32,Numerical,0.02,29,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V101,float32,Numerical,0.02,23,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V102,float32,Numerical,0.02,116,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V103,float32,Numerical,0.02,46,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V104,float32,Numerical,0.02,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V105,float32,Numerical,0.02,39,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V106,float32,Numerical,0.02,24,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V107,float32,Numerical,0.02,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V108,float32,Numerical,0.02,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V109,float32,Numerical,0.02,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V110,float32,Numerical,0.02,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V111,float32,Numerical,0.02,10,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V112,float32,Numerical,0.02,10,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V113,float32,Numerical,0.02,10,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V114,float32,Numerical,0.02,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V115,float32,Numerical,0.02,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V116,float32,Numerical,0.02,7,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V117,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V118,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V119,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V120,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V121,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V122,float32,Numerical,0.02,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V123,float32,Numerical,0.02,14,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V124,float32,Numerical,0.02,14,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V125,float32,Numerical,0.02,14,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V126,float32,Numerical,0.02,7664,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V127,float32,Numerical,0.02,19879,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V128,float32,Numerical,0.02,11339,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V129,float32,Numerical,0.02,1745,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V130,float32,Numerical,0.02,10745,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V131,float32,Numerical,0.02,3935,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V132,float32,Numerical,0.02,4522,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V133,float32,Numerical,0.02,7515,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V134,float32,Numerical,0.02,5972,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V135,float32,Numerical,0.02,3090,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V136,float32,Numerical,0.02,4030,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V137,float32,Numerical,0.02,3512,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V138,float32,Numerical,85.25,23,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V139,float32,Numerical,85.25,34,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V140,float32,Numerical,85.25,34,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V141,float32,Numerical,85.25,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V142,float32,Numerical,85.25,10,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V143,float32,Numerical,85.25,55,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V144,float32,Numerical,85.25,63,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V145,float32,Numerical,85.25,255,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V146,float32,Numerical,85.25,18,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V147,float32,Numerical,85.25,18,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V148,float32,Numerical,85.25,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V149,float32,Numerical,85.25,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V150,float32,Numerical,85.25,1985,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V151,float32,Numerical,85.25,56,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V152,float32,Numerical,85.25,29,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V153,float32,Numerical,85.25,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V154,float32,Numerical,85.25,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V155,float32,Numerical,85.25,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V156,float32,Numerical,85.25,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V157,float32,Numerical,85.25,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V158,float32,Numerical,85.25,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V159,float32,Numerical,85.25,6441,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V160,float32,Numerical,85.25,9088,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V161,float32,Numerical,85.25,75,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V162,float32,Numerical,85.25,155,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V163,float32,Numerical,85.25,98,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V164,float32,Numerical,85.25,710,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V165,float32,Numerical,85.25,1196,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V166,float32,Numerical,85.25,901,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V167,float32,Numerical,75.34,59,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V168,float32,Numerical,75.34,213,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V169,float32,Numerical,75.31,20,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V170,float32,Numerical,75.31,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V171,float32,Numerical,75.31,62,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V172,float32,Numerical,75.34,32,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V173,float32,Numerical,75.34,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V174,float32,Numerical,75.31,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V175,float32,Numerical,75.31,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V176,float32,Numerical,75.34,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V177,float32,Numerical,75.34,48,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V178,float32,Numerical,75.34,127,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V179,float32,Numerical,75.34,69,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V180,float32,Numerical,75.31,67,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V181,float32,Numerical,75.34,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V182,float32,Numerical,75.34,50,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V183,float32,Numerical,75.34,30,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V184,float32,Numerical,75.31,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V185,float32,Numerical,75.31,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V186,float32,Numerical,75.34,39,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V187,float32,Numerical,75.34,213,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V188,float32,Numerical,75.31,19,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V189,float32,Numerical,75.31,20,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V190,float32,Numerical,75.34,43,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V191,float32,Numerical,75.34,22,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V192,float32,Numerical,75.34,45,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V193,float32,Numerical,75.34,38,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V194,float32,Numerical,75.31,8,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V195,float32,Numerical,75.31,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V196,float32,Numerical,75.34,39,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V197,float32,Numerical,75.31,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V198,float32,Numerical,75.31,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V199,float32,Numerical,75.34,46,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V200,float32,Numerical,75.31,46,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V201,float32,Numerical,75.31,56,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V202,float32,Numerical,75.34,7921,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V203,float32,Numerical,75.34,10998,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V204,float32,Numerical,75.34,9411,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V205,float32,Numerical,75.34,1903,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V206,float32,Numerical,75.34,1502,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V207,float32,Numerical,75.34,2726,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V208,float32,Numerical,75.31,2112,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V209,float32,Numerical,75.31,2815,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V210,float32,Numerical,75.31,2330,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V211,float32,Numerical,75.34,5129,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V212,float32,Numerical,75.34,6078,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V213,float32,Numerical,75.34,5662,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V214,float32,Numerical,75.34,1813,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V215,float32,Numerical,75.34,2135,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V216,float32,Numerical,75.34,1972,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V217,float32,Numerical,76.73,54,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V218,float32,Numerical,76.73,110,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V219,float32,Numerical,76.73,78,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V220,float32,Numerical,75.02,26,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V221,float32,Numerical,75.02,72,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V222,float32,Numerical,75.02,72,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V223,float32,Numerical,76.73,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V224,float32,Numerical,76.73,77,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V225,float32,Numerical,76.73,35,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V226,float32,Numerical,76.73,40,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V227,float32,Numerical,75.02,44,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
